epoch,train_loss,train_recon_loss,train_beta_loss,train_x_loss,train_y_loss,train_mass_loss,train_phase_loss,train_latent_loss,train_boundary_loss,train_mono_loss,train_k_mono_loss,train_rr_loss,train_gibbs_loss,train_k_loss,train_smooth_loss,train_beta_mae,train_x_mae,train_y_mae,train_mass_residual,train_x_norm_residual,train_y_norm_residual,train_phase_split_error,train_thermo_consistency_residual,val_loss,val_recon_loss,val_beta_loss,val_x_loss,val_y_loss,val_mass_loss,val_phase_loss,val_latent_loss,val_boundary_loss,val_mono_loss,val_k_mono_loss,val_rr_loss,val_gibbs_loss,val_k_loss,val_smooth_loss,val_beta_mae,val_x_mae,val_y_mae,val_mass_residual,val_x_norm_residual,val_y_norm_residual,val_phase_split_error,val_thermo_consistency_residual
1,246.02868938446045,0.015268323360942304,0.43830471485853195,0.0010210259879386285,0.0013131940977473278,1.0020506182804178e-16,0.5936836618930101,1.2672320827841759,0.49442675709724426,1.0743616446852684,0.874485470354557,0.04049755912274122,0.0,48.91965365409851,0.0,0.4814968015998602,0.009177130996249616,0.012804906524252146,4.015281829250483e-09,3.5157427191734314e-08,4.343746695667505e-08,0.02055175107670948,0.41386095248162746,256.00591735839845,0.015511350892484187,0.4623830020427704,0.00026872975286096334,0.0009625298320315778,9.669300374216729e-17,0.6598647594451904,0.05348091274499893,0.5752919673919678,1.108395791053772,0.6558247327804565,0.0274337787181139,0.0,50.90985107421875,0.0,0.5251355350017548,0.0036050587426871062,0.011233504489064216,3.91186634196572e-09,2.5150883686819726e-08,4.28615344105765e-08,0.014745698310434818,0.32836916446685793
2,74.10564708709717,0.010714362724684179,0.31313501857221127,0.0008012188918655738,0.0004661297098209616,1.0132597220816086e-16,0.40191609784960747,2.3633281737565994,0.2993660122156143,1.1746748499572277,0.9415123872458935,0.022903353325091302,0.0,14.589083969593048,0.0,0.357442457228899,0.011475629638880491,0.0069744366919621825,4.144533688466012e-09,4.3568434193730354e-08,3.3542164601385593e-08,0.015430065745022148,0.34335280396044254,72.87067413330078,0.007947267964482307,0.2341115802526474,0.00023966116714291275,0.0005772537435404957,9.942295916743239e-17,0.511535930633545,1.1538231730461121,0.2111394762992859,1.3398637771606445,0.7689865231513977,0.011171025410294532,0.0,14.371520042419434,0.0,0.27960221767425536,0.005866755731403828,0.007096810359507799,3.993525332646186e-09,3.6999376362700785e-08,3.544717230852257e-08,0.01208381038159132,0.29868720173835756
3,44.899147152900696,0.008219717536121607,0.23863341938704252,0.0006567144901055144,0.00042180735545116477,1.0654038023694254e-16,0.31924542784690857,3.273130849003792,0.2290485966950655,1.0125543363392353,0.9193532578647137,0.012493142276071012,0.0,8.789491191506386,0.0,0.28940883371979,0.009826383029576391,0.007391808874672279,4.221443000718139e-09,3.761670086532831e-08,3.4924596548080444e-08,0.014369040436577052,0.30715599842369556,35.694786643981935,0.00632702112197876,0.17688221633434295,0.0009307548054493964,0.00035294074914418163,1.0612102836954541e-16,0.2831563502550125,3.942611742019653,0.16273265779018403,1.041979682445526,0.9157209515571594,0.012940178066492081,0.0,6.974630117416382,0.0,0.22758747935295104,0.012682663835585117,0.0070258029736578465,4.1416782892156336e-09,3.993821664494135e-08,3.614049006728237e-08,0.01653980277478695,0.3461983799934387
4,14.142640769481659,0.007871029694797471,0.2296624993905425,0.0006285929539444624,0.00032736863977333996,1.0276832331995681e-16,0.24503517150878906,4.297353386878967,0.21441057976335287,1.110021110624075,0.9992099851369858,0.007628580657183193,0.0,2.6377621153369546,0.0,0.27795863430947065,0.010795015841722488,0.006041479529812932,4.15621101423902e-09,4.022149369120598e-08,3.1126546673476696e-08,0.01377813151339069,0.281817065551877,2.1679922342300415,0.005787184555083513,0.16106229424476623,0.0008321311441250145,0.0003905640071025118,1.045041390879325e-16,0.28760170340538027,8.330345916748048,0.15874317288398743,1.098743772506714,1.010091817378998,0.007323925383388996,0.0,0.26875861883163454,0.0,0.2196415275335312,0.010490399040281772,0.006371597945690155,4.131761865977523e-09,3.372939936241437e-08,2.962640586190446e-08,0.01499544084072113,0.3015910148620605
5,2.6415635496377945,0.006056388054275885,0.17654523346573114,0.00045798018254572526,0.0002888723292926443,1.0294967357027233e-16,0.22438009269535542,5.07189205288887,0.15841907495632768,1.0920458249747753,1.0116120241582394,0.002977426687721163,0.0,0.36070370115339756,0.0,0.23443101160228252,0.007979051326401532,0.0062101330840960145,4.194408487201429e-09,3.6074197851121426e-08,3.211607690900564e-08,0.01168257452081889,0.24627630785107613,1.5469178915023805,0.004482633015140891,0.12718973606824874,0.0005663315299898386,0.00021846132003702223,1.1432621932424108e-16,0.16288975328207017,5.90435643196106,0.10164620354771614,1.093952751159668,1.0051245212554931,0.003766085160896182,0.0,0.16485981941223143,0.0,0.18295536637306214,0.009030470438301564,0.00508977361023426,4.365249406390604e-09,3.8111789280037556e-08,3.294294899092165e-08,0.012013397365808486,0.2390452116727829
6,1.6446071416139603,0.004546678042970598,0.13222320238128304,0.00035731395837501623,0.00022427367457567016,1.0696405304770546e-16,0.1769282352179289,5.197539836168289,0.11590359103865921,1.1479943431913853,0.964622151106596,0.0014178766978147905,0.0,0.18131412146613002,0.0,0.19428590405732393,0.007270264643011615,0.005319097836036235,4.297253275442614e-09,3.601599019020796e-08,3.1228410080075264e-08,0.010809325729496777,0.22537345811724663,1.4965444087982178,0.004347604978829622,0.12810486257076265,0.0002342833118746057,0.00021044299646746367,1.110671899147642e-16,0.1626789763569832,7.1953285217285154,0.10324172228574753,1.3041284561157227,1.0945241689682006,0.0010962743777781724,0.0,0.14225073754787446,0.0,0.1897502839565277,0.006444465555250645,0.004923467058688402,4.279510612548165e-09,3.2104758673767717e-08,3.449515304509987e-08,0.009495668485760689,0.2070767343044281
7,2.0222980976104736,0.004395417709019966,0.12886308366432786,0.00031436904373549623,0.00017862192271422828,1.0274709248876472e-16,0.18194179655984044,5.2777601182460785,0.12249663914553821,1.0998695120215416,0.9401916302740574,0.0018327942379983142,0.0,0.2608380140736699,0.0,0.17705038469284773,0.0066969146428164095,0.004434378104633652,4.181569729366785e-09,3.5608536563813686e-08,3.301829565316439e-08,0.009662308439146727,0.20598414167761803,1.7373842477798462,0.004163914872333407,0.12139109373092652,0.0002774297463474795,0.00023525517026428132,1.1155955693211335e-16,0.24945781826972963,6.218863868713379,0.1346607141196728,1.0672324180603028,0.9686955332756042,0.0012342991773039102,0.0,0.20405712425708772,0.0,0.16956858485937118,0.0062388299964368345,0.004641468124464154,4.256737629049212e-09,3.4412369132041934e-08,3.341378445043119e-08,0.01009218543767929,0.2293331265449524
8,1.3605974614620209,0.00413123908219859,0.12146928068250418,0.0002614656359583023,0.00017847666958914488,1.0564690895650921e-16,0.14894615532830358,5.362243413925171,0.12126578250899911,1.0538470782339573,0.9675690606236458,0.0010598164844850544,0.0,0.13358473498374224,0.0,0.17101650033146143,0.005743151326896623,0.004168484258116223,4.252156626805004e-09,3.684544935822487e-08,3.2974639907479286e-08,0.008734877104870975,0.18482930678874254,1.3388681650161742,0.006428049225360155,0.19473786950111388,0.00014614345273002982,0.00015596687444485724,1.0428136677582665e-16,0.11711308285593987,6.1403731346130375,0.23654771447181702,1.080846381187439,0.9990366935729981,0.0006081377621740102,0.0,0.09710731580853463,0.0,0.24606670141220094,0.00395501502789557,0.004290004167705775,4.114395268928206e-09,3.282912075519562e-08,2.980749655989712e-08,0.007065704371780157,0.15382873713970185
9,1.6401277333498,0.004958420555340126,0.14704286213964224,0.00023947187401063275,0.00020507304725470021,1.0400055566691328e-16,0.1251931576989591,5.44793426990509,0.15244260104373097,1.1005484610795975,0.936523113399744,0.002168889712265809,0.0,0.1790687358006835,0.0,0.1919716214761138,0.005392834485974163,0.004540508540230803,4.232262929004804e-09,3.664172254502773e-08,3.282912075519562e-08,0.008662320178700611,0.17857621889561415,1.39429452419281,0.00320317002478987,0.0902109295129776,0.0004237774817738682,0.0001820454199332744,1.0653942691128657e-16,0.19188757836818696,5.521655607223511,0.08434917466947808,1.081082820892334,0.9592686772346497,0.003431906038895249,0.0,0.15082787722349167,0.0,0.1350915864109993,0.007298812735825777,0.004136095242574811,4.224583616263544e-09,3.4319236874580385e-08,3.259111593933994e-08,0.010022118501365185,0.19648362398147584
10,1.431550957262516,0.003883729033987038,0.11418852023780346,0.0002656743190527777,0.00014813108509770245,1.0553086626991598e-16,0.11513000633567572,5.305337190628052,0.12182294810190797,1.0183915458619595,0.9000923372805119,0.0017092359194066375,0.0,0.1561999956611544,0.0,0.15692795161157846,0.005611932720057666,0.003930326682166196,4.194282227087953e-09,3.6860001273453236e-08,3.263994585722685e-08,0.008397435391088948,0.16585735511034727,0.9684000730514526,0.003225156385451555,0.0940928652882576,0.00028499178297352045,0.00010747384731075726,1.0639944677581892e-16,0.06524518057703972,6.770825004577636,0.10087828487157821,1.0277902007102966,0.9408460021018982,0.003165211109444499,0.0,0.07161633074283599,0.0,0.1369190812110901,0.005805842392146587,0.0032198030967265368,4.193841451893832e-09,3.5943877207955666e-08,3.426749657364781e-08,0.007942487578839063,0.14981915950775146
11,1.0668604001402855,0.0034569533017929643,0.10153186460956931,0.00025761258439160883,0.00011796664330177009,1.0514117734743919e-16,0.10343673708848655,5.406184434890747,0.10800788388587534,0.9984851144254208,0.9032357633113861,0.001335355787887238,0.0,0.08967361459508538,0.0,0.14758188975974917,0.005296034883940592,0.0034436475107213482,4.23277693450963e-09,3.632158041000366e-08,3.1970557756721973e-08,0.007735193270491436,0.1543219741433859,0.9929784059524536,0.004399496968835593,0.13155081793665885,0.00022261982958298175,9.961965879483614e-05,1.0285663485923226e-16,0.06158949211239815,6.138018321990967,0.13969324976205827,1.0341176509857177,0.8391161084175109,0.0016891930485144258,0.0,0.06504419669508935,0.0,0.17092262506484984,0.0060839949175715445,0.0024036358343437316,4.186745217182874e-09,3.596457318622015e-08,2.9026220360606204e-08,0.0071193501353263855,0.1394657701253891
12,1.0259707495570183,0.0035081313544651493,0.104170938488096,0.00020016463031424792,0.00010524399658606853,1.0240919582598171e-16,0.09226966463029385,5.288793921470642,0.11201554210856557,1.0034902654588223,0.8809821382164955,0.0012179593977634795,0.0,0.08155219070613384,0.0,0.14679758297279477,0.005040956326411106,0.003130151904770173,4.1686512852745494e-09,3.5099219530820847e-08,3.2101524993777275e-08,0.007096518500475213,0.14740480110049248,0.8966431736946106,0.00286311125382781,0.08390121161937714,0.00021335436322260647,0.00011032839174731634,1.2106079167591384e-16,0.05426417738199234,6.5053764343261715,0.08630972728133202,0.9803261518478393,0.8328352570533752,0.0021302795968949793,0.0,0.06829173117876053,0.0,0.13085025250911714,0.005402903910726309,0.0032331060152500867,4.4687954670052935e-09,3.923455054177793e-08,3.1075130024760256e-08,0.007160084135830402,0.140890035033226
